trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
A7WJD8Smzehy3CMq4icd6447DH1jpSrxx3cfeYm8NM2f,852.0130950907899,-1683.1086524620441,-831.0955573712542,6
2Cdz1xWcoRPoFn74U5TYjnjGcig1te5e9cCVbbLJLzHE,-55.27656300000001,0.0,-55.27656300000001,1
8nR9LV2v6S5Fi3GAKiGUM9Wbxzb3ZWbwRTE6XKCvvNNx,0.6535890174161301,0.09965391597762818,0.7532429333937583,1
2PcW48HDtZ8WyRSMBiqu1iMNkCSSa7KhoQpzZ9D8HGfX,0.0,-975.2130764636628,-975.2130764636628,1
HKeWKx1W4zJ1puJ2MPyjaAqYNBAhwVL1AxiCU23oWJCU,0.0,-191.73467189970955,-191.73467189970955,1
4vQNzKqciLC6hJjYXgQwvYiuPib2353xmDKfkRg72aAS,-466.438479054554,-81.30444638080188,-547.7429254353559,1
Hs5uA7ifgdTLMPh2dQwYBckHmjeoLb4nUHwu9sM63tCi,-141.2294614659442,-1135.2037960012099,-1276.4332574671541,5
EPkiTJEKXtZ2Dufk2o4wHE86vbV5boaEARVARx7Hm3CZ,0.0,-2781.755675326833,-2781.755675326833,3
2TnRZVX9WtooBLxdQ9vD6MfhjGKqVruP6c22kjk4AqSS,0.0,-80.29619517425637,-80.29619517425637,1
44X5pQupKg3SoeUECkMxwVN9CeSsfKRdxqzGn71UqST2,0.0,-386.0377622284648,-386.0377622284648,1
JBS3a2wYsrjg3fi2pvEDEch7V5L5u8W84gR85rGDfZrW,-53.055534596730354,-599.4534959236986,-652.509030520429,1
H8775kxZSghoK6gn2KuAuYiUGGScpwgxeVXDGSPiWQdU,0.0,-32.08122839377092,-32.08122839377092,1
HxZrEdW8jnDLiqLQyHeiFUtRdSKdiB5dXSDjMBRT6ov3,0.0,-1024.2764966038771,-1024.2764966038771,1
CEHuWEH9djb5bTY9yumrS9XrLPvdLo1B16EnJitwUwjv,-145.50552800000003,-1310.7827837857194,-1456.2883117857195,6
7RFNqKren9CEWepjyc8NgeRdfJNGMCa3ohh8ksL7LU61,40.44977569154764,0.0,40.44977569154764,1
GKAyb1Jox3qzjn3EHed83x9fZM8QcVZ2gV6aYCgr7PNs,-222.5983914383782,-5781.6611780349085,-6004.259569473286,18
